ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
4961,fat_-6,,,data,323,FAT (ORGANIC SUBSTANCE)
4962,fat_-7,,,data,323,FAT (ORGANIC SUBSTANCE)
4963,fat_-8,,,data,323,FAT (ORGANIC SUBSTANCE)
4964,fat_-9,,,data,323,FAT (ORGANIC SUBSTANCE)
4965,fat_-10,,,data,323,FAT (ORGANIC SUBSTANCE)
4966,fat_-11,,,data,323,FAT (ORGANIC SUBSTANCE)
4967,fat_-12,,,data,323,FAT (ORGANIC SUBSTANCE)
4968,fat_-13,,,data,323,FAT (ORGANIC SUBSTANCE)
4969,fat_-14,,,data,323,FAT (ORGANIC SUBSTANCE)
4970,fat_-15,,,data,323,FAT (ORGANIC SUBSTANCE)
4971,fat_-16,,,data,323,FAT (ORGANIC SUBSTANCE)
4972,fat_-17,,,data,323,FAT (ORGANIC SUBSTANCE)
4973,fat_-18,,,data,323,FAT (ORGANIC SUBSTANCE)
4974,fat_-19,,,data,323,FAT (ORGANIC SUBSTANCE)
4975,fat_-20,,,data,323,FAT (ORGANIC SUBSTANCE)
4976,fat_-21,,,data,323,FAT (ORGANIC SUBSTANCE)
4977,fat_-22,,,data,323,FAT (ORGANIC SUBSTANCE)
4978,fat_-23,,,data,323,FAT (ORGANIC SUBSTANCE)
4979,fat_-24,,,data,323,FAT (ORGANIC SUBSTANCE)
4980,fat_-25,,,data,323,FAT (ORGANIC SUBSTANCE)
4981,fat_-26,,,data,323,FAT (ORGANIC SUBSTANCE)
4982,fat_-27,,,data,323,FAT (ORGANIC SUBSTANCE)
4983,fat_-28,,,data,323,FAT (ORGANIC SUBSTANCE)
4984,fat_-29,,,data,323,FAT (ORGANIC SUBSTANCE)
4985,fat_-30,,,data,323,FAT (ORGANIC SUBSTANCE)
4986,fat_-31,,,data,323,FAT (ORGANIC SUBSTANCE)
4987,fat_-32,,,data,323,FAT (ORGANIC SUBSTANCE)
4988,fat_-33,,,data,323,FAT (ORGANIC SUBSTANCE)
4989,fat_-34,,,data,323,FAT (ORGANIC SUBSTANCE)
4990,fat_-35,,,data,323,FAT (ORGANIC SUBSTANCE)
4991,fat_-36,,,data,323,FAT (ORGANIC SUBSTANCE)
4992,fat_-37,,,data,323,FAT (ORGANIC SUBSTANCE)
4993,fat_-38,,,data,323,FAT (ORGANIC SUBSTANCE)
4994,fat_-39,,,data,323,FAT (ORGANIC SUBSTANCE)
4995,fat_-40,,,data,323,FAT (ORGANIC SUBSTANCE)
4996,fat_-41,,,data,323,FAT (ORGANIC SUBSTANCE)
4997,fat_-42,,,data,323,FAT (ORGANIC SUBSTANCE)
4998,fat_-43,,,data,323,FAT (ORGANIC SUBSTANCE)
4999,fat_-44,,,data,323,FAT (ORGANIC SUBSTANCE)
5000,fat_-45,,,data,323,FAT (ORGANIC SUBSTANCE)
5001,fat_-46,,,data,323,FAT (ORGANIC SUBSTANCE)
5002,fat_-47,,,data,323,FAT (ORGANIC SUBSTANCE)
5003,fat_-48,,,data,323,FAT (ORGANIC SUBSTANCE)
